MinMemoryReq,114517.9840393115
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1015.4843356139718,8163500.0,8764.162360016275,9002097.0,175,175
2030.9686712279436,13473040.0,10196.670389894884,14331657.0,230,230
3046.4530068419153,18626317.0,11817.078419773492,19536898.0,287,287
4061.937342455887,23935857.0,13249.5864496521,24866485.0,342,344
5077.42167806986,29509742.0,15024.077812864043,30492856.0,401,404
6086.956521739131,34733049.0,16481.921977196434,35737295.0,456,460
7108.390349297803,40035345.0,18105.89863452602,41098144.0,514,520
8123.874684911774,45344885.0,19538.406664404625,46427704.0,569,575
9139.35902052575,50266222.0,20916.81469428323,51368758.0,623,630
10154.84335613972,56125743.0,22583.19553117938,57282331.0,683,694
11170.327691753691,61172498.0,24130.603561057986,62348254.0,738,749
12173.913043478262,66499058.0,25602.94772539037,67727617.0,794,807
13179.690313287721,71545813.0,27150.355755268978,72793540.0,849,862
14195.174648901693,77404669.0,28768.70902324282,78713018.0,907,923
15210.658984515665,82893855.0,30383.490068994444,84332243.0,963,984
16226.143320129637,88357015.0,32157.926670301622,89852085.0,1019,1041
17241.62765574361,93265242.0,33501.76327160887,94778919.0,1072,1097
18257.11199135758,98561672.0,34899.69987291622,100096506.0,1126,1153
19272.59632697155,104088132.0,36447.11980755691,105675525.0,1182,1212
20288.080662585526,109460358.0,37904.67921588181,111076144.0,1238,1276
21290.322580645163,114797339.0,39441.880523071515,116465723.0,1293,1333
22297.443284119552,119794343.0,40820.71712437887,121481843.0,1346,1387
23300.97087378641,125520886.0,42378.00176490191,127261334.0,1402,1445
24306.805905653582,130517890.0,43756.83836620926,132278630.0,1455,1503
25322.290241267558,135688902.0,44985.77496751661,137469491.0,1508,1560
26337.774576881526,140825800.0,46513.111568823966,142657216.0,1563,1616
27353.258912495497,146175175.0,47963.881503464654,148035204.0,1618,1675
28368.74324810947,151701635.0,49511.30143810534,153613978.0,1674,1733
29384.22758372344,156998065.0,50909.238039412696,158930428.0,1728,1788
30399.711919337416,162567394.0,52496.241307386714,164697465.0,1784,1859
31415.196254951385,167834759.0,53882.400130916285,169985095.0,1837,1915
