Policy	ColdStartTime	MemorySize	ExcutingTime	NColdStart	NExcution	PeakMemory
COST	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
COSTSIZE	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
FREQ	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
FREQCOST	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
FREQSIZE	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
GD	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
GDSF	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
LFU	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
LGD	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
LRU	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
RAND	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
SIZE	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
SLRU	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
TTL	13196196.0	10314.679688166942	55543839.0	729.0	548941.0	13656.663740885582
TWOQ	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
WTINYLFU_COSTSIZE	4505154.0	14999.483025600113	46852797.0	302.0	548941.0	14999.483025600113
WTINYLFU_LRU	4686112.0	14555.142882230939	47033755.0	312.0	548941.0	14650.942882230938
