Policy	ColdStartTime	MemorySize	ExcutingTime	NColdStart	NExcution	PeakMemory
Baseline	62164375.0	156335.85906344603	221839973.0	1341.0	263308.0	156335.85906344603
COST	194125838.0	44983.90994397694	353801436.0	9278.0	263308.0	119624.06318284398
COSTSIZE	175431971.0	44875.01010906524	335107569.0	7944.0	263308.0	119624.06318284398
FREQ	316760731.0	44857.403522620676	476436329.0	10463.0	263308.0	119624.06318284398
FREQCOST	266210823.0	44999.34248365972	425886421.0	10204.0	263308.0	119624.06318284398
FREQSIZE	263356270.0	44959.46081902806	423031868.0	9147.0	263308.0	119624.06318284398
GD	2073961486.0	122767.83930905872	2233637084.0	62049.0	263308.0	203605.26589636476
GDSF	2073961486.0	122767.83930905872	2233637084.0	62049.0	263308.0	203605.26589636476
LFU	341952660.0	44848.460340802485	501628258.0	10697.0	263308.0	119624.06318284398
LGD	2083241323.0	122767.83930905767	2242916921.0	62513.0	263308.0	195422.393277316
LRU	176072732.0	44988.99491509246	335748330.0	6989.0	263308.0	119624.06318284398
RAND	237371103.0	44795.52360402088	397046701.0	8347.0	263308.0	119624.06318284398
SIZE	2084473384.0	122767.83930905796	2244148982.0	61899.0	263308.0	205711.7992296978
SLRU	190535806.0	44976.48281647486	350211404.0	7386.0	263308.0	119624.06318284398
TTL	320339874.0	44972.238729080906	480015472.0	9975.0	263308.0	119624.06318284398
TWOQ	190535806.0	44976.48281647486	350211404.0	7386.0	263308.0	119624.06318284398
WTINYLFU_COSTSIZE	872827618.0	44530.7702380946	1032503216.0	32315.0	263308.0	119624.06318284398
WTINYLFU_LRU	429481019.0	44756.406349205885	589156617.0	13295.0	263308.0	119624.06318284398
