MinMemoryReq,59999.965647870384
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
30000.0,781243.0,59936.00348110737,21768483.0,992,993
60000.0,781243.0,59949.40348110737,21880592.0,993,1035
90000.0,876574.0,59990.92961028539,23129426.0,1059,1103
120000.0,876574.0,59992.479228606004,23132018.0,1060,1109
180000.0,900050.0,59949.90700638378,23603865.0,1064,1113
240000.0,900690.0,59956.10325458003,23963843.0,1073,1124
300000.0,900847.0,59971.467497004276,23994340.0,1081,1132
330000.0,906950.0,59933.77162362552,24587014.0,1120,1177
360000.0,906950.0,59963.938290292186,24587804.0,1121,1178
420000.0,906962.0,59963.021623625515,24597784.0,1124,1182
480000.0,952853.0,59988.819242673126,24701900.0,1128,1186
540000.0,997915.0,59887.71448076837,24954914.0,1133,1191
570000.0,998214.0,59968.07162362552,24958618.0,1135,1194
600000.0,998214.0,59981.07162362552,24959352.0,1136,1195
630000.0,1086448.0,59927.034906176305,26372520.0,1157,1218
660000.0,1167067.0,59996.46347760488,26832741.0,1160,1221
690000.0,1168567.0,59990.4120230374,26919354.0,1167,1229
720000.0,1168567.0,59845.212023037406,26919511.0,1168,1230
780000.0,1168653.0,59892.835527310905,26921737.0,1179,1241
840000.0,1168685.0,59943.070288776325,26936483.0,1190,1253
900000.0,1188677.0,59862.78153672377,27271309.0,1199,1262
960000.0,1189131.0,59887.68901998125,27876842.0,1225,1288
1080000.0,1189131.0,59971.0408718331,27884552.0,1228,1291
1200000.0,1190683.0,59882.44003149697,27889108.0,1233,1296
1260000.0,1191733.0,59971.110594267535,28173110.0,1240,1303
1320000.0,1191733.0,59974.59392760087,28173234.0,1241,1304
1380000.0,1192567.0,59930.33866444298,28296020.0,1249,1312
1440000.0,1192614.0,59813.11644222076,28598790.0,1251,1316
1500000.0,1193708.0,59985.09739460171,28633907.0,1263,1328
1560000.0,1194360.0,59992.00453745886,28637830.0,1268,1334
1620000.0,1194898.0,59971.722719277044,28642484.0,1271,1338
1680000.0,1194898.0,59997.222719277044,28647079.0,1272,1339
1800000.0,1242440.0,59991.327363901415,28754187.0,1278,1345
1820000.0,1283740.0,59990.29043834175,31083680.0,1353,1425
1830000.0,1283740.0,59990.29043834175,31088951.0,1353,1426
1840000.0,1286010.0,59976.79043834175,31149377.0,1354,1434
1860000.0,1286010.0,59990.26398331529,31149428.0,1355,1435
1920000.0,1286010.0,59980.297316648626,31181976.0,1357,1438
1980000.0,1286010.0,59999.93303093434,31183210.0,1358,1439
2040000.0,1286826.0,59983.749499188314,31193246.0,1365,1446
2100000.0,1286826.0,59966.15949918831,31197701.0,1368,1449
2220000.0,1286826.0,59995.92032169913,31200128.0,1369,1450
2280000.0,1291702.0,59788.932226461046,31228019.0,1374,1455
2340000.0,1291712.0,59884.64851144832,31238821.0,1377,1458
2400000.0,1295244.0,59900.969970311766,31257533.0,1380,1464
2460000.0,1295980.0,59850.666861508034,31373009.0,1387,1472
2520000.0,1301453.0,59929.381147222324,31401830.0,1390,1475
2580000.0,1303731.0,59948.3633355175,31408818.0,1394,1479
2610000.0,1303839.0,59981.307779961964,31412293.0,1402,1488
2640000.0,1303839.0,59981.307779961964,31427441.0,1402,1489
2700000.0,1303839.0,59999.16492281911,31436742.0,1403,1491
2760000.0,1306649.0,59996.84425988841,31654668.0,1415,1503
2820000.0,1306708.0,59983.7519521961,31669974.0,1416,1505
2940000.0,1307278.0,59997.57338076753,31696525.0,1418,1511
2970000.0,1307287.0,59997.28171410086,31696770.0,1419,1513
3000000.0,1307287.0,59980.19080500995,31701154.0,1420,1514
3060000.0,1309687.0,59958.80447620465,31778213.0,1429,1523
3120000.0,1311729.0,59933.80447620465,31783017.0,1432,1526
3180000.0,1311729.0,59987.004476204645,31792632.0,1433,1527
3240000.0,1312007.0,59912.337809537974,31793514.0,1435,1529
3300000.0,1315922.0,59991.69495239512,31816088.0,1437,1531
3360000.0,1315922.0,59999.40083474806,31816291.0,1438,1532
3420000.0,1316309.0,59868.8400209242,31817877.0,1440,1534
3480000.0,1316309.0,59826.8400209242,32117968.0,1441,1535
3540000.0,1318514.0,59993.82799406217,32426567.0,1447,1541
3600000.0,1319783.0,59977.02620834788,32671440.0,1461,1556
3630000.0,1487720.0,59975.41379222236,44301829.0,1848,1945
3660000.0,1487720.0,59890.53283984141,44424535.0,1850,1951
3720000.0,1487758.0,59829.69224155081,44516941.0,1856,1959
3780000.0,1487775.0,59927.20335266191,44540269.0,1863,1966
3810000.0,1496706.0,59970.56525742381,44566694.0,1869,1973
3840000.0,1496706.0,59981.76525742381,44582191.0,1870,1975
3900000.0,1496706.0,59974.15534541553,44849681.0,1878,1983
3960000.0,1498150.0,59971.858183733624,45720049.0,1897,2006
3990000.0,2073205.0,59994.36099758645,48420990.0,1918,2028
4020000.0,2644127.0,59918.370521395984,50509870.0,1933,2043
4080000.0,2668401.0,59972.57052139598,50587316.0,1937,2047
4140000.0,2668519.0,59932.43669966215,50611313.0,1944,2054
4200000.0,2668527.0,59929.50049697593,50627858.0,1950,2060
4260000.0,2668527.0,59890.84300267811,50667623.0,1960,2071
4320000.0,2668573.0,59969.00966934478,50669603.0,1962,2073
4380000.0,2669704.0,59901.54079198558,50681293.0,1967,2078
4440000.0,2669704.0,59992.124125318915,50684786.0,1971,2082
4500000.0,2669704.0,59814.79079198558,50692122.0,1972,2083
4560000.0,2670098.0,59995.72087856567,50779278.0,1990,2101
4590000.0,2670552.0,59978.32266566745,50791340.0,1994,2106
4680000.0,2670552.0,59994.70728105207,50791493.0,1995,2108
4740000.0,2670552.0,59908.10728105207,50820665.0,1996,2109
4800000.0,2670552.0,59960.93093696605,50831847.0,1998,2111
4920000.0,2670552.0,59858.51336981098,50849527.0,2008,2121
4980000.0,2670552.0,59851.746703144316,50851185.0,2013,2126
5040000.0,2671314.0,59991.70206028718,50880454.0,2027,2140
5100000.0,2671314.0,59987.36872695384,50881212.0,2028,2142
5160000.0,2671674.0,59992.529318086854,50941847.0,2038,2152
5220000.0,2673574.0,59999.529318086854,50949667.0,2039,2155
