MinMemoryReq,59999.84081946985
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
30000.0,781243.0,59936.00348110737,21768483.0,992,993
60000.0,781243.0,59949.40348110737,21880592.0,993,1035
90000.0,876574.0,59950.86216534005,23129426.0,1059,1103
120000.0,876574.0,59952.41178366066,23132018.0,1060,1109
180000.0,900050.0,59916.17289477177,23603865.0,1064,1113
240000.0,900690.0,59949.025275724154,23963843.0,1073,1124
300000.0,900847.0,59988.42285148173,23994340.0,1081,1132
330000.0,906950.0,59992.80609956359,24587014.0,1120,1177
360000.0,906950.0,59999.222766230254,24587804.0,1121,1178
420000.0,906962.0,59942.30609956358,24597784.0,1124,1182
480000.0,952853.0,59965.438084245565,24701900.0,1128,1186
540000.0,997915.0,59895.0333223408,24954914.0,1133,1191
570000.0,998214.0,59975.39046519795,24958618.0,1135,1194
600000.0,998214.0,59971.723798531275,24959352.0,1136,1195
630000.0,1086448.0,59962.97055177804,26372520.0,1157,1218
660000.0,1167067.0,59900.39912320661,26832741.0,1160,1221
690000.0,1168567.0,59933.59759648906,26919354.0,1167,1229
720000.0,1168567.0,59959.39759648906,26919511.0,1168,1230
780000.0,1168653.0,59900.63221187367,26921737.0,1179,1241
840000.0,1168686.0,59993.199519565984,26936484.0,1191,1253
900000.0,1188678.0,59992.609043375494,27271310.0,1200,1262
960000.0,1189132.0,59996.96443058089,27876843.0,1226,1288
1080000.0,1189132.0,59940.74839048065,27884553.0,1229,1291
1200000.0,1190684.0,59966.80196190922,27889109.0,1234,1296
1260000.0,1191734.0,59980.13919134646,28173111.0,1241,1303
1320000.0,1191734.0,59980.13919134646,28173235.0,1242,1304
1380000.0,1192568.0,59981.13919134646,28296021.0,1250,1312
1440000.0,1192615.0,59901.91696912424,28598791.0,1252,1316
1500000.0,1193709.0,59953.91696912425,28633908.0,1264,1328
1560000.0,1194361.0,59976.13363579092,28637831.0,1269,1334
1620000.0,1194899.0,59961.96696912425,28642485.0,1272,1338
1680000.0,1194899.0,59900.46696912425,28647080.0,1273,1339
1800000.0,1242441.0,59823.50506436235,28754188.0,1279,1345
1820000.0,1330900.0,59985.298160739665,31130840.0,1356,1425
1830000.0,1330900.0,59985.298160739665,31136111.0,1356,1426
1840000.0,1333251.0,59957.60292264444,31196618.0,1359,1434
1860000.0,1333251.0,59955.60292264444,31196669.0,1360,1435
1920000.0,1333251.0,59952.93625597777,31229217.0,1362,1438
1980000.0,1333251.0,59977.53625597777,31230451.0,1363,1439
2040000.0,1334067.0,59964.22772423174,31240487.0,1370,1446
2100000.0,1334067.0,59955.704390898405,31244942.0,1373,1449
2220000.0,1334067.0,59984.519390898415,31247369.0,1374,1450
2280000.0,1338943.0,59986.947962326994,31275260.0,1379,1455
2340000.0,1338953.0,59960.330913980935,31286062.0,1382,1458
2400000.0,1342485.0,59976.65237284438,31304774.0,1385,1464
2460000.0,1343221.0,59945.849500743534,31420250.0,1392,1472
2520000.0,1348694.0,59963.23045312449,31449071.0,1395,1475
2580000.0,1350972.0,59909.063786457824,31456059.0,1399,1479
2610000.0,1351188.0,59909.063786457824,31459642.0,1408,1488
2640000.0,1351188.0,59909.063786457824,31474790.0,1408,1489
2700000.0,1351188.0,59926.92092931497,31484091.0,1409,1491
2760000.0,1353998.0,59792.44673811177,31702017.0,1421,1503
2820000.0,1354057.0,59790.89711979116,31717323.0,1422,1505
2940000.0,1354057.0,59906.89711979116,31743304.0,1423,1511
2970000.0,1354075.0,59834.230453124495,31743558.0,1425,1513
3000000.0,1354075.0,59814.80621070025,31747942.0,1426,1514
3060000.0,1356475.0,59864.65574048081,31825001.0,1435,1523
3120000.0,1358517.0,59975.65574048081,31829805.0,1438,1526
3180000.0,1358517.0,59999.65574048081,31839420.0,1439,1527
3240000.0,1358795.0,59859.322407147476,31840302.0,1441,1529
3300000.0,1362710.0,59814.51288333796,31862876.0,1443,1531
3360000.0,1362710.0,59804.361622833756,31863079.0,1444,1532
3420000.0,1363097.0,59801.873131785156,31864665.0,1446,1534
3480000.0,1363097.0,59941.65574048081,32164756.0,1447,1535
3540000.0,1365302.0,59804.21129603637,32473355.0,1453,1541
3600000.0,1367277.0,59842.15574048081,32718934.0,1468,1556
3630000.0,1536215.0,59992.922242794455,44350324.0,1857,1945
3660000.0,1550071.0,59955.045619417826,44486886.0,1862,1951
3720000.0,1550956.0,59916.52034370787,44580139.0,1870,1959
3780000.0,1550973.0,59992.6647881523,44603467.0,1877,1966
3810000.0,1559904.0,59863.69812148564,44629892.0,1883,1973
3840000.0,1559904.0,59874.89812148564,44645389.0,1884,1975
3900000.0,1559904.0,59697.63562148564,44912879.0,1892,1983
3960000.0,1564002.0,59944.40039421291,45785901.0,1913,2006
3990000.0,2139174.0,59974.11706087958,48486959.0,1935,2028
4020000.0,2709646.0,59994.57896564149,50575389.0,1949,2043
4080000.0,2733920.0,59472.77896564149,50652835.0,1953,2047
4140000.0,2734038.0,59643.645143907655,50676832.0,1960,2054
4200000.0,2734046.0,59900.98275074525,50693377.0,1966,2060
4260000.0,2734046.0,59997.78954216172,50733142.0,1976,2071
4320000.0,2734092.0,59897.456208828386,50735122.0,1978,2073
4380000.0,2735223.0,59867.6286226215,50746812.0,1983,2078
4440000.0,2735223.0,59859.96195595483,50750305.0,1987,2082
4500000.0,2735223.0,59935.295289288166,50757641.0,1988,2083
4560000.0,2735617.0,59913.295289288166,50844797.0,2006,2101
4590000.0,2736488.0,59824.295289288166,50857276.0,2011,2106
4680000.0,2736525.0,59816.67990467278,50857466.0,2013,2108
4740000.0,2736525.0,59824.69528928817,50886638.0,2014,2109
4800000.0,2736525.0,59980.295289288166,50897820.0,2016,2111
4920000.0,2736525.0,59857.795289288166,50915500.0,2026,2121
4980000.0,2736525.0,59972.3786226215,50917158.0,2031,2126
5040000.0,2737287.0,59911.35953422198,50946427.0,2045,2140
5100000.0,2737287.0,59838.35953422198,50947185.0,2046,2142
5160000.0,2737647.0,59934.55267996512,51007820.0,2056,2152
5220000.0,2739547.0,59887.80267996512,51015640.0,2057,2155
