Policy	ColdStartTime	MemorySize	ExcutingTime	NColdStart	NExcution	PeakMemory
COST	3342119.0	59951.87625071184	74047777.0	2933.0	3125.0	59999.95053948797
COSTSIZE	3342119.0	59951.87625071184	74047777.0	2933.0	3125.0	59999.95053948797
FREQ	3343934.0	59960.25942147492	74049592.0	2937.0	3125.0	59999.95412252696
FREQCOST	3343934.0	59992.933872024376	74049592.0	2937.0	3125.0	59999.91263231621
FREQSIZE	3343934.0	59960.25942147492	74049592.0	2937.0	3125.0	59999.95412252696
GD	3343934.0	59992.933872024376	74049592.0	2937.0	3125.0	59999.91263231621
GDSF	3343934.0	59992.933872024376	74049592.0	2937.0	3125.0	59999.91263231621
LFU	3343934.0	59960.25942147492	74049592.0	2937.0	3125.0	59999.95412252696
LGD	3342119.0	59951.87625071184	74047777.0	2933.0	3125.0	59999.95053948797
LRU	3343934.0	59995.20582926527	74049592.0	2937.0	3125.0	59999.90408929545
RAND	3362342.0	59967.632937678965	74068000.0	2946.0	3125.0	59999.965647870384
SIZE	3342151.0	59986.375548525655	74047809.0	2936.0	3125.0	59999.98654677018
SLRU	3343934.0	59996.961665646464	74049592.0	2937.0	3125.0	59999.95412252696
TTL	3352333.0	1860.9576311716191	74057991.0	2953.0	3125.0	59999.90408929545
TWOQ	3343934.0	59996.961665646464	74049592.0	2937.0	3125.0	59999.95412252696
WTINYLFU_COSTSIZE	3561202.0	59925.497821338155	74266860.0	2996.0	3125.0	59999.84081946985
WTINYLFU_LRU	3454821.0	59594.222010889804	74160479.0	2990.0	3125.0	59999.84081946985
