MinMemoryReq,148690.3054953611
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.7178441056474,41422644.0,11384.738229223498,42544949.0,453,453
2003.4356882112947,80258297.0,13975.349506572136,81542717.0,779,779
3005.153532316942,118676728.0,16316.896482118973,120049453.0,1103,1105
4006.8713764225895,157509798.0,18685.507759468164,159044638.0,1428,1431
5008.589220528236,196017637.0,21171.617235015572,197641086.0,1755,1759
6010.307064633884,234813169.0,23531.666012364785,236599819.0,2079,2086
7012.024908739532,273196055.0,25833.41062304733,275069660.0,2402,2410
8013.742752845179,312102208.0,28250.386765261406,314139537.0,2729,2739
9015.460596950827,350413077.0,30362.56887594395,352536578.0,3050,3062
10017.178441056472,389453575.0,32950.75037530088,391743605.0,3382,3396
11018.896285162122,427836461.0,35252.49498598343,430214689.0,3705,3722
12020.614129267768,466685991.0,37699.075294864175,469527245.0,4032,4050
13022.331973373417,505118812.0,40036.31990554673,508048454.0,4356,4375
14024.049817479065,543929384.0,42445.21689718165,547021171.0,4678,4703
15025.76766158471,582743694.0,44765.30355526874,586033708.0,4999,5033
16027.485505690358,621497834.0,47029.34340404652,624949963.0,5318,5359
17029.203349796007,659824938.0,49239.381451022506,663365453.0,5636,5687
18030.921193901653,698556996.0,51349.358799800284,702260266.0,5954,6012
19032.6390380073,736891074.0,53656.5319819114,740681319.0,6272,6337
20034.356882112945,776116562.0,56183.22538603024,780085755.0,6600,6677
21036.074726218594,814382980.0,58371.836068141354,818438971.0,6916,7000
22037.792570324244,853160268.0,60648.740781784,857379681.0,7236,7329
23039.51041442989,891506743.0,62982.85146389512,895814519.0,7554,7655
24041.228258535535,930268585.0,65307.69311447469,935039544.0,7874,7984
25042.946102641185,968576180.0,67514.63656685608,973435674.0,8190,8311
26044.663946746834,1007221449.0,69702.71751923746,1012242901.0,8505,8636
27046.381790852483,1045444630.0,71693.16097161884,1050552465.0,8819,8960
28048.09963495813,1084207494.0,74035.30442400022,1089480140.0,9137,9290
29049.817479063775,1122852763.0,76223.3853763816,1128287431.0,9452,9616
30051.53532316942,1162012169.0,78571.21296618988,1167659574.0,9774,9965
31053.253167275067,1200664854.0,80657.85641857126,1206474438.0,10089,10292
32054.794520547945,1238732328.0,82704.83260904788,1244628461.0,10401,10615
33056.68885548636,1277557474.0,84832.88082333402,1283618667.0,10718,10945
34058.406699592015,1315785012.0,86894.32427571541,1321933348.0,11032,11271
35060.12454369765,1354415615.0,88826.90522809679,1360726843.0,11346,11597
36061.842387803306,1392648783.0,90918.34868047817,1399348044.0,11661,11925
37063.56023190895,1431266989.0,92823.99213285955,1438128385.0,11975,12252
38065.2780760146,1469472445.0,94731.37308524094,1476422184.0,12288,12577
39066.99592012025,1508053113.0,96628.45403762232,1515166274.0,12601,12906
40068.71376422589,1546535166.0,98629.41832333703,1553752041.0,12916,13242
41070.43160833154,1585115834.0,100526.49927571841,1592494741.0,13229,13569
42072.14945243719,1623271355.0,102398.38022809979,1630737237.0,13541,13894
43073.867296542834,1661901958.0,104330.96118048117,1669531295.0,13855,14221
44075.58514064849,1700057479.0,106202.84213286256,1707774378.0,14167,14546
45077.30298475413,1739125974.0,108177.86752968837,1747116353.0,14482,14878
46079.02082885978,1777281495.0,110049.74848206976,1785358756.0,14794,15203
47080.738672965424,1815862163.0,111946.82943445114,1824101549.0,15107,15530
48082.45651707107,1854073249.0,113884.21038683252,1862702091.0,15421,15858
49084.17436117672,1892653917.0,115781.2913392139,1901444717.0,15734,16183
50085.89220528237,1930859373.0,117688.67229159529,1939742889.0,16047,16517
51087.610049388015,1969440041.0,119585.75324397667,1978485692.0,16360,16844
52089.32789349367,2007545627.0,121422.13419635805,2016678086.0,16671,17168
53091.045737599314,2046076360.0,123283.71514873943,2055371907.0,16983,17496
54092.76358170497,2084181946.0,125120.09610112081,2093564448.0,17294,17820
55094.48142581061,2122712679.0,126981.6770535022,2132260036.0,17606,18151
56096.19926991626,2160818265.0,128818.05800588358,2170452577.0,17917,18475
57097.917114021904,2199348998.0,130679.63895826496,2209145425.0,18229,18801
58099.63495812755,2237879731.0,132541.21991064635,2247839623.0,18541,19129
59101.3528022332,2275985317.0,134377.60086302774,2286032164.0,18852,19453
60340.90909090909,2310677896.0,136828.9442152001,2320896806.0,19146,19794
61363.63636363636,2310677896.0,136828.9442152001,2320900822.0,19146,19803
62386.36363636364,2310677896.0,136828.9442152001,2320904379.0,19146,19813
63409.09090909091,2310677896.0,136828.9442152001,2320909671.0,19146,19824
64431.818181818184,2310677896.0,136828.9442152001,2320913687.0,19146,19833
65454.545454545456,2310677896.0,136828.9442152001,2320918017.0,19146,19845
66477.27272727272,2310677896.0,136828.9442152001,2320923276.0,19146,19856
67500.0,2310677896.0,136828.9442152001,2320927449.0,19146,19866
68522.72727272728,2310677896.0,136828.9442152001,2320931642.0,19146,19877
69545.45454545454,2310677896.0,136828.9442152001,2320936265.0,19146,19887
70568.18181818182,2310677896.0,136828.9442152001,2320943335.0,19146,19902
71590.90909090909,2310677896.0,136828.9442152001,2320947538.0,19146,19914
72613.63636363635,2310677896.0,136828.9442152001,2320952663.0,19146,19923
73636.36363636365,2310677896.0,136828.9442152001,2320956836.0,19146,19933
74659.09090909091,2310677896.0,136828.9442152001,2320961039.0,19146,19945
75681.81818181818,2310677896.0,136828.9442152001,2320966561.0,19146,19958
76704.54545454546,2310677896.0,136828.9442152001,2320970098.0,19146,19967
77727.27272727272,2310677896.0,136828.9442152001,2320974144.0,19146,19978
78750.0,2310677896.0,136828.9442152001,2320979550.0,19146,19989
79772.72727272728,2310677896.0,136828.9442152001,2320983723.0,19146,19999
80795.45454545454,2310677896.0,136828.9442152001,2320994549.0,19146,20018
81818.18181818182,2310677896.0,136828.9442152001,2320999831.0,19146,20028
82840.90909090909,2310677896.0,136828.9442152001,2321004004.0,19146,20038
83846.15384615384,2310677896.0,136828.9442152001,2321007350.0,19146,20047
84886.36363636365,2310677896.0,136828.9442152001,2321012820.0,19146,20059
85909.09090909091,2310677896.0,136828.9442152001,2321016983.0,19146,20070
86923.07692307692,2310677896.0,136828.9442152001,2321021112.0,19146,20080
87954.54545454546,2310677896.0,136828.9442152001,2321026582.0,19146,20092
88977.27272727272,2310677896.0,136828.9442152001,2321030608.0,19146,20102
90000.0,2310677896.0,136828.9442152001,2321034075.0,19146,20110
91022.72727272728,2310907591.0,136887.27754853346,2321278201.0,19147,20139
92045.45454545454,2310907591.0,136887.27754853346,2321282227.0,19147,20149
93068.18181818182,2310907591.0,136887.27754853346,2321287633.0,19147,20160
94090.90909090909,2310907591.0,136887.27754853346,2321291826.0,19147,20171
95113.63636363635,2310907591.0,136887.27754853346,2321295989.0,19147,20182
96136.36363636365,2310907591.0,136887.27754853346,2321301395.0,19147,20193
97142.85714285714,2310907591.0,136887.27754853346,2321304741.0,19147,20202
98181.81818181818,2310907591.0,136887.27754853346,2321308978.0,19147,20213
99204.54545454546,2310907591.0,136887.27754853346,2321314260.0,19147,20223
100227.27272727272,2310907591.0,136887.27754853346,2321325086.0,19147,20242
101250.0,2310907591.0,136887.27754853346,2321329259.0,19147,20252
102272.72727272728,2310907591.0,136887.27754853346,2321334665.0,19147,20263
103295.45454545454,2310907591.0,136887.27754853346,2321338711.0,19147,20274
104318.18181818182,2310907591.0,136887.27754853346,2321342248.0,19147,20283
105340.90909090909,2310907591.0,136887.27754853346,2321347770.0,19147,20296
106363.63636363635,2310907591.0,136887.27754853346,2321351973.0,19147,20308
107386.36363636365,2310907591.0,136887.27754853346,2321356146.0,19147,20318
108409.09090909091,2310907591.0,136887.27754853346,2321361271.0,19147,20327
109431.81818181818,2310907591.0,136887.27754853346,2321365474.0,19147,20339
110454.54545454546,2310907591.0,136887.27754853346,2321372544.0,19147,20354
