MinMemoryReq,137458.76405870414
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.7178441056474,41422644.0,11384.738229223498,42544949.0,453,453
2003.4356882112947,80258297.0,13975.349506572136,81542717.0,779,779
3005.153532316942,118676728.0,16316.896482118973,120049453.0,1103,1105
4006.8713764225895,157509798.0,16945.066886452292,159044638.0,1428,1431
5008.589220528236,196020220.0,16952.169146992484,197643669.0,1756,1759
6010.307064633884,234822225.0,18905.32048844426,236608875.0,2083,2086
7012.024908739532,273207694.0,21008.537321349027,275081299.0,2407,2410
8013.742752845179,312117446.0,23305.41089946054,314154775.0,2736,2739
9015.460596950827,350431480.0,25166.21779646787,352554981.0,3059,3062
10017.178441056472,389474715.0,27737.692946618456,391764745.0,3393,3396
11018.896285162122,427864074.0,29853.437557301,430242302.0,3719,3722
12020.614129267768,466716187.0,31994.017866181744,469557441.0,4047,4050
13022.331973373417,505151591.0,34271.01247686429,508081233.0,4372,4375
14024.049817479065,544017948.0,36690.14756373731,547109735.0,4700,4703
15025.76766158471,582925484.0,39085.314991055166,586215498.0,5030,5033
16027.485505690358,621761137.0,41109.18817316628,625213266.0,5356,5359
17029.203349796007,660186799.0,43418.590689006734,663727314.0,5684,5687
18030.921193901653,699000370.0,45520.496609213085,702703640.0,6009,6012
19032.6390380073,737415961.0,47827.6697913242,741206206.0,6334,6337
20034.356882112945,776733231.0,50719.5298621097,780702424.0,6674,6677
21036.074726218594,815081162.0,52089.64054422082,819137153.0,6997,7000
22037.792570324244,853943853.0,54525.857757863465,858163266.0,7326,7329
23039.51041442989,892372857.0,56726.294447300585,896680633.0,7652,7655
24041.228258535535,931262508.0,59030.54046378453,936033467.0,7981,7984
25042.946102641185,969720242.0,61315.31724949925,974579736.0,8308,8311
26044.663946746834,1008518357.0,63200.73153521396,1013539809.0,8633,8636
27046.381790852483,1046892495.0,64994.50832092868,1052000330.0,8957,8960
28048.09963495813,1085812095.0,67507.31843997672,1091084741.0,9287,9290
29049.817479063775,1124633358.0,69551.3993923581,1130068026.0,9613,9616
30051.53532316942,1164041989.0,73012.81020449959,1169689394.0,9962,9965
31053.253167275067,1202900790.0,74508.4851884125,1208710374.0,10289,10292
32054.794520547945,1241156317.0,76247.36574479348,1247052450.0,10612,10615
33056.68885548636,1280168321.0,78507.19345042162,1286229514.0,10942,10945
34058.406699592015,1318590093.0,80467.30356946966,1324738429.0,11268,11271
35060.12454369765,1357425412.0,82425.88452185104,1363736640.0,11594,11597
36061.842387803306,1395865461.0,84258.7946408991,1402564722.0,11922,11925
37063.56023190895,1434731236.0,86248.43809328048,1441592632.0,12249,12252
38065.2780760146,1473130118.0,87919.98731489263,1480079857.0,12574,12577
39066.99592012025,1511992809.0,89916.02698217024,1519105970.0,12903,12906
40068.71376422589,1550836165.0,92154.86329169448,1558053040.0,13239,13242
41070.43160833154,1589658010.0,93644.90555359966,1597036917.0,13566,13569
42072.14945243719,1628073601.0,95416.13847966526,1635539483.0,13891,13894
43073.867296542834,1666944799.0,97208.98310643532,1674574136.0,14218,14221
44075.58514064849,1705299679.0,99251.99919395184,1713016578.0,14543,14546
45077.30298475413,1744671789.0,101211.06786000842,1752662168.0,14875,14878
46079.02082885978,1783072990.0,102869.21964572313,1791150251.0,15200,15203
47080.738672965424,1821909225.0,104732.56982887375,1830148611.0,15527,15530
48082.45651707107,1860398627.0,106722.1799479218,1869027469.0,15855,15858
49084.17436117672,1899196742.0,108227.69840030318,1907987542.0,16180,16183
50085.89220528237,1937776716.0,110444.91147945418,1946660232.0,16514,16517
51087.610049388015,1976642491.0,112259.27340030402,1985688142.0,16841,16844
52089.32789349367,2014991004.0,114276.61566220922,2024123463.0,17165,17168
53091.045737599314,2053866277.0,115915.36488382137,2063161824.0,17493,17496
54092.76358170497,2092251746.0,117513.57756697199,2101634248.0,17817,17820
55094.48142581061,2131178704.0,119704.59601935337,2140726061.0,18148,18151
56096.19926991626,2169564173.0,121212.30137649666,2179198485.0,18472,18475
57097.917114021904,2208399826.0,123054.04899554471,2218196253.0,18798,18801
58099.63495812755,2247271606.0,124832.56744792609,2257231498.0,19126,19129
59101.3528022332,2285657075.0,126537.5878233844,2295703922.0,19450,19453
60340.90909090909,2321107879.0,131023.44286581843,2331326789.0,19790,19794
61363.63636363636,2321286750.0,129899.00481611429,2331509676.0,19796,19803
62386.36363636364,2321374223.0,129237.36911791613,2331600706.0,19798,19813
63409.09090909091,2321521439.0,128426.96019181974,2331753214.0,19805,19824
64431.818181818184,2321521439.0,128426.96019181974,2331757230.0,19805,19833
65454.545454545456,2321573309.0,127156.34753776966,2331813430.0,19807,19845
66477.27272727272,2321753769.0,126905.33265681729,2331999149.0,19816,19856
67500.0,2321858491.0,126699.6029270876,2332108044.0,19820,19866
68522.72727272728,2322175804.0,126690.57139555611,2332429550.0,19831,19877
69545.45454545454,2322209816.0,126291.42081640555,2332468185.0,19834,19887
70568.18181818182,2322565081.0,126176.0946420169,2332830520.0,19847,19902
71590.90909090909,2322766616.0,125556.64644381874,2333036258.0,19855,19914
72613.63636363635,2322880069.0,126028.43215810448,2333154836.0,19860,19923
73636.36363636365,2323034726.0,125581.90977528939,2333313666.0,19865,19933
74659.09090909091,2323302686.0,125289.14014851974,2333585829.0,19876,19945
75681.81818181818,2323603261.0,125478.0169181465,2333891926.0,19889,19958
76704.54545454546,2323722204.0,125363.44548957507,2334014406.0,19894,19967
77727.27272727272,2323979413.0,125249.85266460723,2334275661.0,19904,19978
78750.0,2324173681.0,125326.13672246113,2334475335.0,19912,19989
79772.72727272728,2324385206.0,124523.99032606473,2334691033.0,19919,19999
80795.45454545454,2324683658.0,124792.03022310461,2335000311.0,19935,20018
81818.18181818182,2324887919.0,124813.99748500937,2335209854.0,19943,20028
82840.90909090909,2325151962.0,124438.33500109689,2335478070.0,19952,20038
83846.15384615384,2325271487.0,124831.96177072365,2335600941.0,19958,20047
84886.36363636365,2325559403.0,124386.89034215221,2335894327.0,19968,20059
85909.09090909091,2325781451.0,124139.1843415087,2336120538.0,19978,20070
86923.07692307692,2326045494.0,124267.54027780214,2336388710.0,19987,20080
87954.54545454546,2326309206.0,124311.9997372616,2336657892.0,19998,20092
88977.27272727272,2326559441.0,124003.0318318562,2336912153.0,20008,20102
90000.0,2326703225.0,123764.30089556277,2337059404.0,20014,20110
91022.72727272728,2327443496.0,124610.0955198574,2337814106.0,20043,20139
92045.45454545454,2327693731.0,124581.0330198574,2338068367.0,20053,20149
93068.18181818182,2327881777.0,124797.79244961684,2338261819.0,20061,20160
94090.90909090909,2328199090.0,124698.65731448171,2338583325.0,20072,20171
95113.63636363635,2328471073.0,124851.72158410847,2338859471.0,20083,20182
96136.36363636365,2328761572.0,125049.0138138382,2339155376.0,20094,20193
97142.85714285714,2328934367.0,125113.18104356794,2339331517.0,20102,20202
98181.81818181818,2329194771.0,125105.0459084328,2339596158.0,20112,20213
99204.54545454546,2329448967.0,125428.81497213937,2339855636.0,20121,20223
100227.27272727272,2329758750.0,125949.45782928223,2340176245.0,20137,20242
101250.0,2330045941.0,125453.15602748042,2340467609.0,20147,20252
102272.72727272728,2330286505.0,125768.47206673397,2340713579.0,20157,20263
103295.45454545454,2330566862.0,125952.27443159884,2340997982.0,20168,20274
104318.18181818182,2330746491.0,125568.7030030274,2341181148.0,20175,20283
105340.90909090909,2330971400.0,125914.73453455894,2341411579.0,20185,20296
106363.63636363635,2331286712.0,125491.56786789227,2341731094.0,20196,20308
107386.36363636365,2331450885.0,125322.49523275714,2341899440.0,20203,20318
108409.09090909091,2331617608.0,125828.50416132857,2342071288.0,20210,20327
109431.81818181818,2331885568.0,125942.1392964637,2342343451.0,20221,20339
110454.54545454546,2332227201.0,125882.90715360656,2342692154.0,20235,20354
