MinMemoryReq,136270.44948383627
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.7178441056474,41422644.0,11384.738229223498,42544949.0,453,453
2003.4356882112947,80258297.0,13975.349506572136,81542717.0,779,779
3005.153532316942,118676728.0,16316.896482118973,120049453.0,1103,1105
4006.8713764225895,157512381.0,16891.007759468164,159047221.0,1429,1431
5008.589220528236,196022803.0,16994.65056834891,197646252.0,1757,1759
6010.307064633884,234824808.0,19127.32048844426,236611458.0,2084,2086
7012.024908739532,273210277.0,21008.537321349027,275083882.0,2408,2410
8013.742752845179,312120029.0,23305.41089946054,314157358.0,2737,2739
9015.460596950827,350434063.0,25166.21779646787,352557564.0,3060,3062
10017.178441056472,389477298.0,27737.692946618456,391767328.0,3394,3396
11018.896285162122,427866657.0,29853.437557301,430244885.0,3720,3722
12020.614129267768,466718770.0,31994.017866181744,469560024.0,4048,4050
13022.331973373417,505154174.0,34271.01247686429,508083816.0,4373,4375
14024.049817479065,544020531.0,36690.14756373731,547112318.0,4701,4703
15025.76766158471,582928067.0,39085.314991055166,586218081.0,5031,5033
16027.485505690358,621763720.0,41109.18817316628,625215849.0,5357,5359
17029.203349796007,660189382.0,43418.590689006734,663729897.0,5685,5687
18030.921193901653,699002953.0,45520.496609213085,702706223.0,6010,6012
19032.6390380073,737418544.0,47827.6697913242,741208789.0,6335,6337
20034.356882112945,776735814.0,50719.5298621097,780705007.0,6675,6677
21036.074726218594,815083745.0,52089.64054422082,819139736.0,6998,7000
22037.792570324244,853946436.0,54525.857757863465,858165849.0,7327,7329
23039.51041442989,892375440.0,56726.294447300585,896683216.0,7653,7655
24041.228258535535,931265091.0,59030.54046378453,936036050.0,7982,7984
25042.946102641185,969722825.0,61315.31724949925,974582319.0,8309,8311
26044.663946746834,1008520940.0,63200.73153521396,1013542392.0,8634,8636
27046.381790852483,1046895078.0,64994.50832092868,1052002913.0,8958,8960
28048.09963495813,1085814678.0,67507.31843997672,1091087324.0,9288,9290
29049.817479063775,1124635941.0,69551.3993923581,1130070609.0,9614,9616
30051.53532316942,1164044572.0,73012.81020449959,1169691977.0,9963,9965
31053.253167275067,1202903373.0,74508.4851884125,1208712957.0,10290,10292
32054.794520547945,1241158900.0,76247.36574479348,1247055033.0,10613,10615
33056.68885548636,1280170904.0,78507.19345042162,1286232097.0,10943,10945
34058.406699592015,1318592676.0,80467.30356946966,1324741012.0,11269,11271
35060.12454369765,1357427995.0,82425.88452185104,1363739223.0,11595,11597
36061.842387803306,1395868044.0,84258.7946408991,1402567305.0,11923,11925
37063.56023190895,1434733819.0,86248.43809328048,1441595215.0,12250,12252
38065.2780760146,1473132701.0,87919.98731489263,1480082440.0,12575,12577
39066.99592012025,1511995392.0,89916.02698217024,1519108553.0,12904,12906
40068.71376422589,1550838748.0,92154.86329169448,1558055623.0,13240,13242
41070.43160833154,1589660593.0,93644.90555359966,1597039500.0,13567,13569
42072.14945243719,1628076184.0,95416.13847966526,1635542066.0,13892,13894
43073.867296542834,1666947382.0,97208.98310643532,1674576719.0,14219,14221
44075.58514064849,1705302262.0,99251.99919395184,1713019161.0,14544,14546
45077.30298475413,1744674372.0,101211.06786000842,1752664751.0,14876,14878
46079.02082885978,1783075573.0,102869.21964572313,1791152834.0,15201,15203
47080.738672965424,1821911808.0,104732.56982887375,1830151194.0,15528,15530
48082.45651707107,1860401210.0,106722.1799479218,1869030052.0,15856,15858
49084.17436117672,1899199325.0,108227.69840030318,1907990125.0,16181,16183
50085.89220528237,1937779299.0,110444.91147945418,1946662815.0,16515,16517
51087.610049388015,1976645074.0,112259.27340030402,1985690725.0,16842,16844
52089.32789349367,2014993587.0,114276.61566220922,2024126046.0,17166,17168
53091.045737599314,2053868860.0,115915.36488382137,2063164407.0,17494,17496
54092.76358170497,2092254329.0,117513.57756697199,2101636831.0,17818,17820
55094.48142581061,2131181287.0,119704.59601935337,2140728644.0,18149,18151
56096.19926991626,2169566756.0,121212.30137649666,2179201068.0,18473,18475
57097.917114021904,2208402409.0,123054.04899554471,2218198836.0,18799,18801
58099.63495812755,2247274189.0,124832.56744792609,2257234081.0,19127,19129
59101.3528022332,2285659658.0,126537.5878233844,2295706505.0,19451,19453
60340.90909090909,2321110462.0,131023.44286581843,2331329372.0,19791,19794
61363.63636363636,2321289333.0,129899.00481611429,2331512259.0,19797,19803
62386.36363636364,2321376806.0,129237.36911791613,2331603289.0,19799,19813
63409.09090909091,2321524022.0,128426.96019181974,2331755797.0,19806,19824
64431.818181818184,2321524022.0,128426.96019181974,2331759813.0,19806,19833
65454.545454545456,2321575892.0,127156.34753776966,2331816013.0,19808,19845
66477.27272727272,2321756352.0,126905.33265681729,2332001732.0,19817,19856
67500.0,2321861074.0,126699.6029270876,2332110627.0,19821,19866
68522.72727272728,2322178387.0,126690.57139555611,2332432133.0,19832,19877
69545.45454545454,2322212399.0,126291.42081640555,2332470768.0,19835,19887
70568.18181818182,2322567664.0,126176.0946420169,2332833103.0,19848,19902
71590.90909090909,2322769199.0,125556.64644381874,2333038841.0,19856,19914
72613.63636363635,2322882652.0,126028.43215810448,2333157419.0,19861,19923
73636.36363636365,2323037309.0,125581.90977528939,2333316249.0,19866,19933
74659.09090909091,2323305269.0,125289.14014851974,2333588412.0,19877,19945
75681.81818181818,2323605844.0,125478.0169181465,2333894509.0,19890,19958
76704.54545454546,2323724787.0,125363.44548957507,2334016989.0,19895,19967
77727.27272727272,2323981996.0,125249.85266460723,2334278244.0,19905,19978
78750.0,2324176264.0,125326.13672246113,2334477918.0,19913,19989
79772.72727272728,2324387789.0,124523.99032606473,2334693616.0,19920,19999
80795.45454545454,2324686241.0,124792.03022310461,2335002894.0,19936,20018
81818.18181818182,2324890502.0,124813.99748500937,2335212437.0,19944,20028
82840.90909090909,2325154545.0,124438.33500109689,2335480653.0,19953,20038
83846.15384615384,2325274070.0,124831.96177072365,2335603524.0,19959,20047
84886.36363636365,2325561986.0,124386.89034215221,2335896910.0,19969,20059
85909.09090909091,2325784034.0,124139.1843415087,2336123121.0,19979,20070
86923.07692307692,2326048077.0,124267.54027780214,2336391293.0,19988,20080
87954.54545454546,2326311789.0,124311.9997372616,2336660475.0,19999,20092
88977.27272727272,2326562024.0,124003.0318318562,2336914736.0,20009,20102
90000.0,2326705808.0,123764.30089556277,2337061987.0,20015,20110
91022.72727272728,2327446079.0,124610.0955198574,2337816689.0,20044,20139
92045.45454545454,2327696314.0,124581.0330198574,2338070950.0,20054,20149
93068.18181818182,2327884360.0,124797.79244961684,2338264402.0,20062,20160
94090.90909090909,2328201673.0,124698.65731448171,2338585908.0,20073,20171
95113.63636363635,2328473656.0,124851.72158410847,2338862054.0,20084,20182
96136.36363636365,2328764155.0,125049.0138138382,2339157959.0,20095,20193
97142.85714285714,2328936950.0,125113.18104356794,2339334100.0,20103,20202
98181.81818181818,2329197354.0,125105.0459084328,2339598741.0,20113,20213
99204.54545454546,2329451550.0,125428.81497213937,2339858219.0,20122,20223
100227.27272727272,2329761333.0,125949.45782928223,2340178828.0,20138,20242
101250.0,2330048524.0,125453.15602748042,2340470192.0,20148,20252
102272.72727272728,2330289088.0,125768.47206673397,2340716162.0,20158,20263
103295.45454545454,2330569445.0,125952.27443159884,2341000565.0,20169,20274
104318.18181818182,2330749074.0,125568.7030030274,2341183731.0,20176,20283
105340.90909090909,2330973983.0,125914.73453455894,2341414162.0,20186,20296
106363.63636363635,2331289295.0,125491.56786789227,2341733677.0,20197,20308
107386.36363636365,2331453468.0,125322.49523275714,2341902023.0,20204,20318
108409.09090909091,2331620191.0,125828.50416132857,2342073871.0,20211,20327
109431.81818181818,2331888151.0,125942.1392964637,2342346034.0,20222,20339
110454.54545454546,2332229784.0,125882.90715360656,2342694737.0,20236,20354
