MinMemoryReq,136830.1640587043
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.7178441056474,41422644.0,11384.738229223498,42544949.0,453,453
2003.4356882112947,80258297.0,13975.349506572136,81542717.0,779,779
3005.153532316942,118676728.0,16316.896482118973,120049453.0,1103,1105
4006.8713764225895,157509798.0,16984.63088634129,159044638.0,1428,1431
5008.589220528236,196017637.0,16860.271711095047,197641086.0,1755,1759
6010.307064633884,234819060.0,18610.32048844426,236605710.0,2081,2086
7012.024908739532,273204529.0,20786.537321349027,275078134.0,2405,2410
8013.742752845179,312114281.0,23305.41089946054,314151610.0,2734,2739
9015.460596950827,350428315.0,25166.21779646787,352551816.0,3057,3062
10017.178441056472,389471550.0,27737.692946618456,391761580.0,3391,3396
11018.896285162122,427860909.0,29853.437557301,430239137.0,3717,3722
12020.614129267768,466713022.0,31994.017866181744,469554276.0,4045,4050
13022.331973373417,505148426.0,34271.01247686429,508078068.0,4370,4375
14024.049817479065,544014783.0,36690.14756373731,547106570.0,4698,4703
15025.76766158471,582922319.0,39085.314991055166,586212333.0,5028,5033
16027.485505690358,621757972.0,41109.18817316628,625210101.0,5354,5359
17029.203349796007,660183634.0,43418.590689006734,663724149.0,5682,5687
18030.921193901653,698997205.0,45520.496609213085,702700475.0,6007,6012
19032.6390380073,737412796.0,47827.6697913242,741203041.0,6332,6337
20034.356882112945,776730066.0,50719.5298621097,780699259.0,6672,6677
21036.074726218594,815077997.0,52089.64054422082,819133988.0,6995,7000
22037.792570324244,853940688.0,54525.857757863465,858160101.0,7324,7329
23039.51041442989,892369692.0,56726.294447300585,896677468.0,7650,7655
24041.228258535535,931259343.0,59030.54046378453,936030302.0,7979,7984
25042.946102641185,969717077.0,61315.31724949925,974576571.0,8306,8311
26044.663946746834,1008515192.0,63200.73153521396,1013536644.0,8631,8636
27046.381790852483,1046889330.0,64994.50832092868,1051997165.0,8955,8960
28048.09963495813,1085808930.0,67507.31843997672,1091081576.0,9285,9290
29049.817479063775,1124630193.0,69551.3993923581,1130064861.0,9611,9616
30051.53532316942,1164038824.0,73012.81020449959,1169686229.0,9960,9965
31053.253167275067,1202897625.0,74508.4851884125,1208707209.0,10287,10292
32054.794520547945,1241153152.0,76247.36574479348,1247049285.0,10610,10615
33056.68885548636,1280165156.0,78507.19345042162,1286226349.0,10940,10945
34058.406699592015,1318586928.0,80467.30356946966,1324735264.0,11266,11271
35060.12454369765,1357422247.0,82425.88452185104,1363733475.0,11592,11597
36061.842387803306,1395862296.0,84258.7946408991,1402561557.0,11920,11925
37063.56023190895,1434728071.0,86248.43809328048,1441589467.0,12247,12252
38065.2780760146,1473126953.0,87919.98731489263,1480076692.0,12572,12577
39066.99592012025,1511989644.0,89916.02698217024,1519102805.0,12901,12906
40068.71376422589,1550833000.0,92154.86329169448,1558049875.0,13237,13242
41070.43160833154,1589654845.0,93644.90555359966,1597033752.0,13564,13569
42072.14945243719,1628070436.0,95416.13847966526,1635536318.0,13889,13894
43073.867296542834,1666941634.0,97208.98310643532,1674570971.0,14216,14221
44075.58514064849,1705296514.0,99251.99919395184,1713013413.0,14541,14546
45077.30298475413,1744668624.0,101211.06786000842,1752659003.0,14873,14878
46079.02082885978,1783069825.0,102869.21964572313,1791147086.0,15198,15203
47080.738672965424,1821906060.0,104732.56982887375,1830145446.0,15525,15530
48082.45651707107,1860395462.0,106722.1799479218,1869024304.0,15853,15858
49084.17436117672,1899193577.0,108227.69840030318,1907984377.0,16178,16183
50085.89220528237,1937773551.0,110444.91147945418,1946657067.0,16512,16517
51087.610049388015,1976639326.0,112259.27340030402,1985684977.0,16839,16844
52089.32789349367,2014987839.0,114276.61566220922,2024120298.0,17163,17168
53091.045737599314,2053863112.0,115915.36488382137,2063158659.0,17491,17496
54092.76358170497,2092248581.0,117513.57756697199,2101631083.0,17815,17820
55094.48142581061,2131175539.0,119704.59601935337,2140722896.0,18146,18151
56096.19926991626,2169561008.0,121212.30137649666,2179195320.0,18470,18475
57097.917114021904,2208396661.0,123054.04899554471,2218193088.0,18796,18801
58099.63495812755,2247268441.0,124832.56744792609,2257228333.0,19124,19129
59101.3528022332,2285653910.0,126537.5878233844,2295700757.0,19448,19453
60340.90909090909,2321104714.0,131023.44286581843,2331323624.0,19788,19794
61363.63636363636,2321283585.0,129899.00481611429,2331506511.0,19794,19803
62386.36363636364,2321371058.0,129237.36911791613,2331597541.0,19796,19813
63409.09090909091,2321518274.0,128426.96019181974,2331750049.0,19803,19824
64431.818181818184,2321518274.0,128426.96019181974,2331754065.0,19803,19833
65454.545454545456,2321570144.0,127156.34753776966,2331810265.0,19805,19845
66477.27272727272,2321750604.0,126905.33265681729,2331995984.0,19814,19856
67500.0,2321855326.0,126699.6029270876,2332104879.0,19818,19866
68522.72727272728,2322172639.0,126690.57139555611,2332426385.0,19829,19877
69545.45454545454,2322206651.0,126291.42081640555,2332465020.0,19832,19887
70568.18181818182,2322561916.0,126176.0946420169,2332827355.0,19845,19902
71590.90909090909,2322763451.0,125556.64644381874,2333033093.0,19853,19914
72613.63636363635,2322876904.0,126028.43215810448,2333151671.0,19858,19923
73636.36363636365,2323031561.0,125581.90977528939,2333310501.0,19863,19933
74659.09090909091,2323299521.0,125289.14014851974,2333582664.0,19874,19945
75681.81818181818,2323600096.0,125478.0169181465,2333888761.0,19887,19958
76704.54545454546,2323719039.0,125363.44548957507,2334011241.0,19892,19967
77727.27272727272,2323976248.0,125249.85266460723,2334272496.0,19902,19978
78750.0,2324170516.0,125326.13672246113,2334472170.0,19910,19989
79772.72727272728,2324382041.0,124523.99032606473,2334687868.0,19917,19999
80795.45454545454,2324680493.0,124792.03022310461,2334997146.0,19933,20018
81818.18181818182,2324884754.0,124813.99748500937,2335206689.0,19941,20028
82840.90909090909,2325148797.0,124438.33500109689,2335474905.0,19950,20038
83846.15384615384,2325268322.0,124831.96177072365,2335597776.0,19956,20047
84886.36363636365,2325556238.0,124386.89034215221,2335891162.0,19966,20059
85909.09090909091,2325778286.0,124139.1843415087,2336117373.0,19976,20070
86923.07692307692,2326042329.0,124267.54027780214,2336385545.0,19985,20080
87954.54545454546,2326306041.0,124311.9997372616,2336654727.0,19996,20092
88977.27272727272,2326556276.0,124003.0318318562,2336908988.0,20006,20102
90000.0,2326700060.0,123764.30089556277,2337056239.0,20012,20110
91022.72727272728,2327440331.0,124610.0955198574,2337810941.0,20041,20139
92045.45454545454,2327690566.0,124581.0330198574,2338065202.0,20051,20149
93068.18181818182,2327878612.0,124797.79244961684,2338258654.0,20059,20160
94090.90909090909,2328195925.0,124698.65731448171,2338580160.0,20070,20171
95113.63636363635,2328467908.0,124851.72158410847,2338856306.0,20081,20182
96136.36363636365,2328758407.0,125049.0138138382,2339152211.0,20092,20193
97142.85714285714,2328931202.0,125113.18104356794,2339328352.0,20100,20202
98181.81818181818,2329191606.0,125105.0459084328,2339592993.0,20110,20213
99204.54545454546,2329445802.0,125428.81497213937,2339852471.0,20119,20223
100227.27272727272,2329755585.0,125949.45782928223,2340173080.0,20135,20242
101250.0,2330042776.0,125453.15602748042,2340464444.0,20145,20252
102272.72727272728,2330283340.0,125768.47206673397,2340710414.0,20155,20263
103295.45454545454,2330563697.0,125952.27443159884,2340994817.0,20166,20274
104318.18181818182,2330743326.0,125568.7030030274,2341177983.0,20173,20283
105340.90909090909,2330968235.0,125914.73453455894,2341408414.0,20183,20296
106363.63636363635,2331283547.0,125491.56786789227,2341727929.0,20194,20308
107386.36363636365,2331447720.0,125322.49523275714,2341896275.0,20201,20318
108409.09090909091,2331614443.0,125828.50416132857,2342068123.0,20208,20327
109431.81818181818,2331882403.0,125942.1392964637,2342340286.0,20219,20339
110454.54545454546,2332224036.0,125882.90715360656,2342688989.0,20233,20354
