Policy	ColdStartTime	MemorySize	ExcutingTime	NColdStart	NExcution	PeakMemory
Baseline	2372531615.0	148690.3054953611	2621927298.0	19406.0	145874.0	148690.3054953611
COST	9777004640.0	16928.847774106413	10026400323.0	93507.0	145874.0	136440.38786822805
COSTSIZE	9772938918.0	16947.62579563458	10022334601.0	92887.0	145874.0	136440.3878682282
FREQ	2755893746.0	16985.49904222279	3005289429.0	26659.0	145874.0	131023.44286581843
FREQCOST	2598270341.0	16976.068103777303	2847666024.0	27046.0	145874.0	131023.44286581843
FREQSIZE	2607739781.0	16885.94191288846	2857135464.0	24899.0	145874.0	131023.44286581843
GD	2560506666.0	16949.09962124617	2809902349.0	25300.0	145874.0	131023.44286581843
GDSF	2560506666.0	16949.09962124617	2809902349.0	25300.0	145874.0	131023.44286581843
LFU	2623592608.0	16950.276500688076	2872988291.0	23434.0	145874.0	131023.44286581843
LGD	9769631206.0	16971.303849464755	10019026889.0	92693.0	145874.0	136440.38786822816
LRU	9832203962.0	16996.10565126648	10081599645.0	91752.0	145874.0	136946.8307253709
RAND	9943873596.0	16993.676405399587	10193269279.0	95264.0	145874.0	137458.76405870414
SIZE	7387329900.0	16826.241349464897	7636725583.0	68938.0	145874.0	136270.44948383627
SLRU	9961954816.0	16954.318001116317	10211350499.0	94830.0	145874.0	136830.1640587043
TTL	9868171558.0	16988.71689644019	10117567241.0	92473.0	145874.0	136795.2307253709
TWOQ	9961954816.0	16954.318001116317	10211350499.0	94830.0	145874.0	136830.1640587043
WTINYLFU_COSTSIZE	2483425479.0	16569.80374543374	2732821162.0	23796.0	145874.0	131023.44286581843
WTINYLFU_LRU	2644840516.0	16568.680270859997	2894236199.0	24166.0	145874.0	131023.44286581843
