MinMemoryReq,298521.78927204484
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.5174506828528,5415462.0,27902.363127775752,5967969.0,335,337
2003.0349013657055,7935881.0,41044.01312777578,8534726.0,487,492
3004.5523520485585,10610519.0,44990.34494595758,11270471.0,611,650
4006.069802731411,13087736.0,53758.84268114911,13794003.0,758,804
5007.5872534142645,15602373.0,64757.88553829201,16355239.0,915,961
6009.104704097117,18376089.0,75950.80024417433,19190002.0,1074,1120
7010.622154779969,20885556.0,85475.72357750766,21745764.0,1228,1274
8012.139605462822,23379112.0,94742.13115326522,24285908.0,1383,1429
9013.657056145676,26137499.0,104890.2811532652,27105147.0,1541,1587
10015.174506828529,28753758.0,114578.04781993186,29769732.0,1702,1748
11016.69195751138,31261627.0,124087.18670882075,32324111.0,1857,1903
12018.209408194234,34094949.0,133167.42004215406,35220999.0,2015,2061
13019.726858877088,36603687.0,141949.10337548744,37776477.0,2169,2216
14021.244309559937,39087680.0,150055.35337548747,40306808.0,2321,2371
15022.761760242793,41841281.0,158398.7462326304,43125725.0,2482,2534
16024.279210925644,44323939.0,166145.49623263042,45654715.0,2633,2688
17025.7966616085,46803576.0,173723.49623263045,48180701.0,2786,2844
18027.31411229135,49531570.0,182045.5834620677,50969969.0,2943,3002
19028.8315629742,51994543.0,190126.99891661317,53479047.0,3094,3155
20030.349013657058,54757551.0,199292.78224994653,56297778.0,3258,3321
21031.86646433991,57338331.0,207220.8655832799,58933375.0,3411,3477
22033.38391502276,59418069.0,207028.35169439102,61059439.0,3544,3632
23034.901365705613,61281811.0,203473.43502772434,62976011.0,3654,3790
24036.41881638847,63208951.0,199351.35169439096,64960688.0,3764,3947
25037.93626707132,65013765.0,197339.26836105768,66812225.0,3882,4103
26039.453717754175,67095985.0,195718.35169439114,68946806.0,4007,4258
27040.971168437027,68963129.0,193838.48212917376,70868583.0,4119,4414
28042.488619119875,70952221.0,191938.45435139604,72904659.0,4249,4572
29044.006069802734,72991262.0,190733.37101806272,74995854.0,4371,4726
30045.523520485585,75113070.0,190069.6813218394,77225125.0,4499,4909
31047.040971168437,76792184.0,184865.59798850605,78950381.0,4603,5062
32048.55842185129,78740008.0,183269.02655993472,80950563.0,4718,5218
33050.075872534144,80502107.0,179742.252750411,82768074.0,4823,5376
34051.593323217,82338071.0,177106.66941707768,84650186.0,4941,5530
35053.11077389985,84470766.0,176983.05275041115,86835699.0,5072,5689
36054.6282245827,86410690.0,174423.93608374445,88833131.0,5185,5844
37056.14567526556,88371590.0,173297.2694170778,90840403.0,5310,6000
38057.6631259484,90402670.0,171548.35275041123,92924046.0,5432,6155
39059.18057663126,92311105.0,169025.6027504112,94887505.0,5545,6314
40060.698027314116,94352624.0,166669.71941707787,96984724.0,5669,6479
41062.215477996964,96227130.0,164246.44560755414,98905372.0,5787,6632
42063.73292867982,98040050.0,161514.43411330134,100773149.0,5898,6790
43065.25037936267,99907491.0,158698.01744663465,102693155.0,6006,6944
44066.76783004552,102033535.0,161192.43411330137,104865695.0,6139,7100
45068.285280728385,104455722.0,165216.1841133015,107347382.0,6288,7264
46069.802731411226,106472667.0,165266.06744663487,109416498.0,6409,7418
47071.32018209408,108553323.0,167205.40077996824,111543503.0,6541,7573
48072.83763277694,110453830.0,165705.15077996821,113501958.0,6650,7730
