MinMemoryReq,298521.7892720362
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.5174506828528,5415462.0,27902.363127775752,5967969.0,335,337
2003.0349013657055,7935881.0,41044.01312777578,8534726.0,487,492
3004.5523520485585,10613019.0,44961.01161262423,11272971.0,612,650
4006.069802731411,13090236.0,53840.50934781577,13796503.0,759,804
5007.5872534142645,15604873.0,64839.55220495867,16357739.0,916,961
6009.104704097117,18378589.0,75950.80024417432,19192502.0,1075,1120
7010.622154779969,20888056.0,85475.72357750764,21748264.0,1229,1274
8012.139605462822,23381612.0,94742.1311532652,24288408.0,1384,1429
9013.657056145676,26139999.0,104890.28115326518,27107647.0,1542,1587
10015.174506828529,28756258.0,114578.04781993185,29772232.0,1703,1748
11016.69195751138,31264127.0,124087.18670882074,32326611.0,1858,1903
12018.209408194234,34097449.0,133167.42004215406,35223499.0,2016,2061
13019.726858877088,36606187.0,141949.10337548744,37778977.0,2170,2216
14021.244309559937,39090180.0,150055.35337548747,40309308.0,2322,2371
15022.761760242793,41843781.0,158398.7462326304,43128225.0,2483,2534
16024.279210925644,44326439.0,166145.49623263042,45657215.0,2634,2688
17025.7966616085,46806076.0,173723.49623263045,48183201.0,2787,2844
18027.31411229135,49534070.0,182045.5834620677,50972469.0,2944,3002
19028.8315629742,51997043.0,190126.99891661317,53481547.0,3095,3155
20030.349013657058,54760051.0,199292.78224994653,56300278.0,3259,3321
21031.86646433991,57340831.0,207220.8655832799,58935875.0,3412,3477
22033.38391502276,59420569.0,207028.35169439102,61061939.0,3545,3632
23034.901365705613,61284311.0,203473.43502772434,62978511.0,3655,3790
24036.41881638847,63211451.0,199351.35169439096,64963188.0,3765,3947
25037.93626707132,65016265.0,197339.26836105768,66814725.0,3883,4103
26039.453717754175,67098485.0,195718.35169439114,68949306.0,4008,4258
27040.971168437027,68965629.0,193838.48212917376,70871083.0,4120,4414
28042.488619119875,70954721.0,191938.45435139604,72907159.0,4250,4572
29044.006069802734,72993762.0,190733.37101806272,74998354.0,4372,4726
30045.523520485585,75115570.0,190069.6813218394,77227625.0,4500,4909
31047.040971168437,76794684.0,184865.59798850605,78952881.0,4604,5062
32048.55842185129,78742508.0,183269.02655993472,80953063.0,4719,5218
33050.075872534144,80504607.0,179742.252750411,82770574.0,4824,5376
34051.593323217,82340571.0,177106.66941707768,84652686.0,4942,5530
35053.11077389985,84473266.0,176983.05275041115,86838199.0,5073,5689
36054.6282245827,86413190.0,174423.93608374445,88835631.0,5186,5844
37056.14567526556,88374090.0,173297.2694170778,90842903.0,5311,6000
38057.6631259484,90405170.0,171548.35275041123,92926546.0,5433,6155
39059.18057663126,92313605.0,169025.6027504112,94890005.0,5546,6314
40060.698027314116,94355124.0,166669.71941707787,96987224.0,5670,6479
41062.215477996964,96229630.0,164246.44560755414,98907872.0,5788,6632
42063.73292867982,98042550.0,161514.43411330134,100775649.0,5899,6790
43065.25037936267,99909991.0,158698.01744663465,102695655.0,6007,6944
44066.76783004552,102036035.0,161192.43411330137,104868195.0,6140,7100
45068.285280728385,104458222.0,165216.1841133015,107349882.0,6289,7264
46069.802731411226,106475167.0,165266.06744663487,109418998.0,6410,7418
47071.32018209408,108555823.0,167205.40077996824,111546003.0,6542,7573
48072.83763277694,110456330.0,165705.15077996821,113504458.0,6651,7730
