Policy	ColdStartTime	MemorySize	ExcutingTime	NColdStart	NExcution	PeakMemory
COST	20054996247.0	209301.8396551869	20731406954.0	1165979.0	1844753.0	298521.78927204484
COSTSIZE	20054467764.0	209301.83965518852	20730878471.0	1165964.0	1844753.0	298521.7892720465
FREQ	20053228022.0	209301.83965518748	20729638729.0	1165871.0	1844753.0	298521.7892720454
FREQCOST	20053228022.0	209301.8396551869	20729638729.0	1165871.0	1844753.0	298521.78927204484
FREQSIZE	20053228022.0	209301.83965518724	20729638729.0	1165871.0	1844753.0	298521.7892720452
GD	20053228022.0	209301.83965519225	20729638729.0	1165871.0	1844753.0	298521.7892720502
GDSF	20053228022.0	209301.83965519225	20729638729.0	1165871.0	1844753.0	298521.7892720502
LFU	20053228022.0	209301.8396551876	20729638729.0	1165871.0	1844753.0	298521.78927204554
LGD	20054947675.0	209301.83965518806	20731358382.0	1165977.0	1844753.0	298521.789272046
LRU	20044906195.0	209301.8396551813	20721316902.0	1165400.0	1844753.0	298521.7892720395
RAND	20055062916.0	209301.83965518643	20731473623.0	1165964.0	1844753.0	298521.7892720444
SIZE	20044729943.0	209301.8396551848	20721140650.0	1165426.0	1844753.0	298521.78927204275
SLRU	20044819097.0	209301.83965517828	20721229804.0	1165399.0	1844753.0	298521.7892720362
TTL	20055304933.0	209301.83965518422	20731715640.0	1165982.0	1844753.0	298521.7892720423
TWOQ	20044819097.0	209301.83965517828	20721229804.0	1165399.0	1844753.0	298521.7892720362
WTINYLFU_COSTSIZE	4617428763.0	44461.56666667034	5293839470.0	349667.0	1844753.0	233308.5701376296
WTINYLFU_LRU	3046257627.0	44452.19197670854	3722668334.0	175066.0	1844753.0	233308.57013762955
