Policy,N,ColdStartTime,ExcutingTime,NColdStart,AvgLatencyMs,ColdStartRate,AvgColdStartCostMs,MemMean,MemPeakTS,PeakMemory,CSVPath
LGD,77860.0,7661974.0,25627121.0,1126.0,329.14360390444386,0.014461854610839969,6804.595026642984,9959.157305717188,9999.580488922453,9999.860256523274,./log\LGD.csv
COSTSIZE,77860.0,7950303.0,25915450.0,1236.0,332.8467762650912,0.015874646801952223,6432.283980582524,9963.665030302778,9999.140204532256,9999.77815792013,./log\COSTSIZE.csv
COST,77860.0,8833852.0,26798999.0,1414.0,344.19469560750065,0.018160801438479323,6247.420084865629,9958.349595869515,9999.263967809184,9999.989746331736,./log\COST.csv
WTINYLFU_COSTSIZE,77860.0,9333673.0,27298820.0,1023.0,350.6141792961726,0.013138967377343951,9123.825024437927,9858.659230708536,9993.659509576406,9999.373550911436,./log\WTINYLFU_COSTSIZE.csv
GDSF,77860.0,13743016.0,31708163.0,1337.0,407.24586437194966,0.017171846904700746,10278.994764397905,9958.764348968814,9999.907041402234,9999.987241903485,./log\GDSF.csv
GD,77860.0,13743016.0,31708163.0,1337.0,407.24586437194966,0.017171846904700746,10278.994764397905,9958.764348968814,9999.907041402234,9999.987241903485,./log\GD.csv
FREQCOST,77860.0,14312245.0,32277392.0,1394.0,414.5567942460827,0.017903930131004366,10267.033715925394,9954.012580577748,9999.144698043838,9999.920480057524,./log\FREQCOST.csv
SIZE,77860.0,15486344.0,33451491.0,1183.0,429.63641150783457,0.015193937837143592,13090.738799661876,9948.966253886874,9999.906438298489,9999.973104965156,./log\SIZE.csv
FREQ,77860.0,19498290.0,37463437.0,1445.0,481.1641022347804,0.018558951965065504,13493.626297577855,9956.716011043949,9999.49093460298,9999.819944628041,./log\FREQ.csv
FREQSIZE,77860.0,20002731.0,37967878.0,1314.0,487.64292319547906,0.016876444901104546,15222.778538812785,9959.133564444317,9999.757647573084,9999.757647573084,./log\FREQSIZE.csv
WTINYLFU_LRU,77860.0,21648982.0,39614129.0,1489.0,508.7866555355767,0.019124068841510404,14539.2760241773,9829.231890318004,9999.629084625005,9999.629084625003,./log\WTINYLFU_LRU.csv
LFU,77860.0,23598193.0,41563340.0,1766.0,533.8214744413049,0.02268173645003853,13362.510192525482,9965.260519332842,9999.588342896435,9999.988809421991,./log\LFU.csv
TWOQ,77860.0,29031323.0,46996470.0,1618.0,603.602234780375,0.020780888774723862,17942.721260815822,9965.362580820198,9999.964988082036,9999.99946564466,./log\TWOQ.csv
SLRU,77860.0,36618333.0,54583480.0,2285.0,701.046493706653,0.029347546879013614,16025.528665207878,9966.039586098981,9999.892270208564,9999.91364399607,./log\SLRU.csv
TTL,77860.0,40674198.0,58639345.0,2099.0,753.1382609812484,0.026958643719496533,19377.893282515484,9969.924942515063,9999.887560882751,9999.983995150238,./log\TTL.csv
RAND,77860.0,43918762.0,61883909.0,2831.0,794.8100308245569,0.036360133573079885,15513.515365595196,9964.781653623113,9999.8888128566,9999.974037309605,./log\RAND.csv
LRU,77860.0,55035513.0,73000660.0,3183.0,937.5887490367326,0.040881068584639094,17290.453345900096,9975.483817688428,9999.629084625005,9999.98303986596,./log\LRU.csv
