Experiment,Policy,N,ColdStartTime,ExcutingTime,NColdStart,AvgLatencyMs,ColdStartRate,AvgColdStartCostMs,MemMean,MemPeakTS,PeakMemory,CSVPath,_label
Random,SIZE,322419.0,25638428.0,181770773.0,744.0,563.7719024002928,0.002307556316470183,34460.25268817204,43783.75266045638,44999.49134217544,44999.49134217544,./log/Random/SIZE.csv,Random
Random,COSTSIZE,322419.0,25690352.0,181822697.0,923.0,563.9329474999922,0.002862734516266101,27833.53412784399,43835.1535135656,44999.61718300128,44999.61718300128,./log/Random/COSTSIZE.csv,Random
Random,LGD,322419.0,25819216.0,181951561.0,1054.0,564.3326261789783,0.0032690381149994264,24496.409867172675,43851.52159298936,44999.78756252974,44999.78756252974,./log/Random/LGD.csv,Random
Random,COST,322419.0,25951149.0,182083494.0,1272.0,564.7418235277697,0.0039451769281587,20401.846698113208,43862.20514437417,44999.96707689126,44999.97356208011,./log/Random/COST.csv,Random
Random,WTINYLFU_COSTSIZE,322419.0,26322615.0,182454960.0,1338.0,565.8939454560681,0.004149879504619765,19673.10538116592,43762.218780151125,44999.46159411509,44999.461594115084,./log/Random/WTINYLFU_COSTSIZE.csv,Random
Random,SLRU,322419.0,26904413.0,183036758.0,818.0,567.6984234800059,0.00253707132644168,32890.4804400978,43850.06103858623,44999.9536538098,44999.9536538098,./log/Random/SLRU.csv,Random
Random,TWOQ,322419.0,26904413.0,183036758.0,818.0,567.6984234800059,0.00253707132644168,32890.4804400978,43850.06103858623,44999.9536538098,44999.9536538098,./log/Random/TWOQ.csv,Random
Random,GD,322419.0,27792785.0,183925130.0,951.0,570.4537573778221,0.0029495780335526134,29224.800210304944,43841.95872636388,44999.9536538098,44999.9536538098,./log/Random/GD.csv,Random
Random,GDSF,322419.0,27792785.0,183925130.0,951.0,570.4537573778221,0.0029495780335526134,29224.800210304944,43841.95872636388,44999.9536538098,44999.9536538098,./log/Random/GDSF.csv,Random
Random,FREQCOST,322419.0,27825555.0,183957900.0,1035.0,570.5553953085891,0.00321010858541215,26884.594202898552,43861.826507515674,44999.9536538098,44999.9536538098,./log/Random/FREQCOST.csv,Random
Random,LFU,322419.0,27998129.0,184130474.0,880.0,571.0906429211678,0.0027293676861475285,31816.055681818183,43831.989438371194,44999.9536538098,44999.9536538098,./log/Random/LFU.csv,Random
Random,FREQSIZE,322419.0,28146021.0,184278366.0,867.0,571.5493379732584,0.0026890474816930765,32463.692041522492,43821.14975158344,44999.9536538098,44999.9536538098,./log/Random/FREQSIZE.csv,Random
Random,FREQ,322419.0,29259860.0,185392205.0,891.0,575.0039699893616,0.0027634847822243726,32839.34904601571,43840.45296886999,44999.9536538098,44999.9536538098,./log/Random/FREQ.csv,Random
Random,LRU,322419.0,29753616.0,185885961.0,958.0,576.5353809794087,0.0029712889128742414,31058.054279749478,43860.77993447323,44999.667020138106,44999.971539784776,./log/Random/LRU.csv,Random
Random,RAND,322419.0,32354989.0,188487334.0,986.0,584.6036803042005,0.0030581324301607537,32814.39046653144,43857.84723783439,44999.59218148316,44999.70884814982,./log/Random/RAND.csv,Random
Random,WTINYLFU_LRU,322419.0,75765206.0,231897551.0,1997.0,719.2428206774415,0.006193803715041607,37939.51226840261,43716.515111289744,44998.32154734518,44999.59470618192,./log/Random/WTINYLFU_LRU.csv,Random
Random,TTL,322419.0,129009348.0,285141693.0,1708.0,884.382412326817,0.005297454554477249,75532.40515222482,22326.240159788373,42784.33442460586,42922.43178262542,./log/Random/TTL.csv,Random
