Policy,N,ColdStartTime,ExcutingTime,NColdStart,AvgLatencyMs,ColdStartRate,AvgColdStartCostMs,MemMean,MemPeakTS,PeakMemory,CSVPath
WTINYLFU_LRU,281511.0,2672391056.0,2909361505.0,30820.0,10334.805762474645,0.10948062420296187,86709.6384166126,21698.733446395254,93100.16249920386,93333.04485214506,./log/Representative/WTINYLFU_LRU.csv
WTINYLFU_COSTSIZE,281511.0,2952744296.0,3189714745.0,58487.0,11330.693099026326,0.207760975592428,50485.48046574453,21487.25191362104,93100.16249920389,93333.04485214507,./log/Representative/WTINYLFU_COSTSIZE.csv
LRU,281511.0,11150957006.0,11387927455.0,177554.0,40452.86846695156,0.6307178049880822,62803.186669970826,59736.73428780023,164268.89089032737,164268.89089032737,./log/Representative/LRU.csv
TWOQ,281511.0,11344983470.0,11581953919.0,181209.0,41142.10073141014,0.6437013118492706,62607.17442290394,60361.68539513201,164268.8908903266,164268.8908903266,./log/Representative/TWOQ.csv
SLRU,281511.0,11344983470.0,11581953919.0,181209.0,41142.10073141014,0.6437013118492706,62607.17442290394,60361.68539513201,164268.8908903266,164268.8908903266,./log/Representative/SLRU.csv
COST,281511.0,11345001532.0,11581971981.0,181228.0,41142.16489231327,0.6437688047713944,62600.71033173682,60364.37776071118,164268.89089032772,164268.89089032772,./log/Representative/COST.csv
RAND,281511.0,11345172304.0,11582142753.0,181224.0,41142.771518697315,0.6437545957351578,62603.03438838123,60365.72129805905,164268.89089032856,164268.89089032856,./log/Representative/RAND.csv
SIZE,281511.0,11345501608.0,11582472057.0,181229.0,41143.94129181453,0.6437723570304535,62603.12426819107,60366.699023889276,164268.89089032888,164268.89089032888,./log/Representative/SIZE.csv
GDSF,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.67464115499,164268.8908903287,164268.8908903287,./log/Representative/GDSF.csv
LFU,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.674940621844,164268.89089032853,164268.89089032853,./log/Representative/LFU.csv
FREQSIZE,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.67464115507,164268.89089032882,164268.89089032882,./log/Representative/FREQSIZE.csv
FREQCOST,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.674641154816,164268.89089032842,164268.89089032842,./log/Representative/FREQCOST.csv
FREQ,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.67464115479,164268.8908903286,164268.8908903286,./log/Representative/FREQ.csv
TTL,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.67080307713,164268.89089032882,164268.89089032882,./log/Representative/TTL.csv
COSTSIZE,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.689459518886,164268.89089032865,164268.89089032865,./log/Representative/COSTSIZE.csv
GD,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.67464115499,164268.8908903287,164268.8908903287,./log/Representative/GD.csv
LGD,281511.0,11345522450.0,11582492899.0,181230.0,41144.01532799784,0.6437759092895127,62602.89383656128,60366.69003320577,164268.89089032865,164268.89089032865,./log/Representative/LGD.csv
