Policy,N,ColdStartTime,ExcutingTime,NColdStart,AvgLatencyMs,ColdStartRate,AvgColdStartCostMs,MemMean,MemPeakTS,PeakMemory,CSVPath
WTINYLFU_LRU,1844753.0,3046257627.0,3722668334.0,175066.0,2017.976571389232,0.09489942555995301,17400.623918979127,64327.60055465186,227930.9186224778,233308.57013762955,./log/Temporal/WTINYLFU_LRU.csv
WTINYLFU_COSTSIZE,1844753.0,4617428763.0,5293839470.0,349667.0,2869.6738641975376,0.1895467848541241,13205.217429725997,64348.08751219238,227930.91862247785,233308.5701376296,./log/Temporal/WTINYLFU_COSTSIZE.csv
SIZE,1844753.0,20044729943.0,20721140650.0,1165426.0,11232.474293306475,0.6317517846562656,17199.48752044317,180571.24026240208,296335.534099629,298521.78927204275,./log/Temporal/SIZE.csv
TWOQ,1844753.0,20044819097.0,20721229804.0,1165399.0,11232.522621727678,0.6317371485505106,17199.962499538786,180569.87599314423,296335.53409962245,298521.7892720362,./log/Temporal/TWOQ.csv
SLRU,1844753.0,20044819097.0,20721229804.0,1165399.0,11232.522621727678,0.6317371485505106,17199.962499538786,180569.87599314423,296335.53409962245,298521.7892720362,./log/Temporal/SLRU.csv
LRU,1844753.0,20044906195.0,20721316902.0,1165400.0,11232.569835636532,0.6317376906285015,17200.022477261027,180570.42036357828,296335.5340996257,298521.7892720395,./log/Temporal/LRU.csv
FREQ,1844753.0,20053228022.0,20729638729.0,1165871.0,11237.08091489755,0.631993009362229,17200.211706097845,180631.7546092402,296335.53409963165,298521.7892720454,./log/Temporal/FREQ.csv
FREQCOST,1844753.0,20053228022.0,20729638729.0,1165871.0,11237.08091489755,0.631993009362229,17200.211706097845,180631.75460924045,296335.53409963107,298521.78927204484,./log/Temporal/FREQCOST.csv
FREQSIZE,1844753.0,20053228022.0,20729638729.0,1165871.0,11237.08091489755,0.631993009362229,17200.211706097845,180631.7546092409,296335.5340996314,298521.7892720452,./log/Temporal/FREQSIZE.csv
GD,1844753.0,20053228022.0,20729638729.0,1165871.0,11237.08091489755,0.631993009362229,17200.211706097845,180631.75460924336,296335.5340996364,298521.7892720502,./log/Temporal/GD.csv
GDSF,1844753.0,20053228022.0,20729638729.0,1165871.0,11237.08091489755,0.631993009362229,17200.211706097845,180631.75460924336,296335.5340996364,298521.7892720502,./log/Temporal/GDSF.csv
LFU,1844753.0,20053228022.0,20729638729.0,1165871.0,11237.08091489755,0.631993009362229,17200.211706097845,180631.7546092402,296335.53409963177,298521.78927204554,./log/Temporal/LFU.csv
COSTSIZE,1844753.0,20054467764.0,20730878471.0,1165964.0,11237.75295175018,0.6320434226153854,17199.903053610575,180643.85233893487,296335.5340996327,298521.7892720465,./log/Temporal/COSTSIZE.csv
LGD,1844753.0,20054947675.0,20731358382.0,1165977.0,11238.013100940885,0.6320504696292675,17200.122879782364,180645.19029894393,296335.53409963223,298521.789272046,./log/Temporal/LGD.csv
COST,1844753.0,20054996247.0,20731406954.0,1165979.0,11238.03943075306,0.6320515537852494,17200.135034164425,180645.22538359492,296335.53409963107,298521.78927204484,./log/Temporal/COST.csv
RAND,1844753.0,20055062916.0,20731473623.0,1165964.0,11238.075570550638,0.6320434226153854,17200.41349132563,180645.45240512482,296335.5340996306,298521.7892720444,./log/Temporal/RAND.csv
TTL,1844753.0,20055304933.0,20731715640.0,1165982.0,11238.206762639767,0.6320531800192221,17200.355522641003,180646.6877760448,296335.5340996285,298521.7892720423,./log/Temporal/TTL.csv
